                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   10-02-2024 21:50:54:25:197                              UI_PID                              65429
   10-02-2024 21:50:54:25:229                sent pid to watchdog                                 -
  10-02-2024 21:51:00:465:356               received watchdog pid                                 -
  10-02-2024 21:51:00:465:450                        watchdog_pid                              65451
  10-02-2024 21:51:00:466:407                 initialised ncurses                                 -
  10-02-2024 21:51:00:466:504                        initial xMax                                 53
  10-02-2024 21:51:00:466:559                        initial yMax                                203
  10-02-2024 21:51:00:466:610                           droneMaxY                                201
  10-02-2024 21:51:00:466:661                           droneMaxX                                 26
  10-02-2024 21:51:00:571:489                          user input                                 -1
  10-02-2024 21:51:00:571:610                            yMax_now                                203
  10-02-2024 21:51:00:571:669                            xMax_now                                 53
  10-02-2024 21:51:00:666:551                 Pipe_dronePositionY                                 15
  10-02-2024 21:51:00:666:660                 Pipe_dronePositionX                                 15
  10-02-2024 21:51:00:666:757             Received target ycoords                                 -
  10-02-2024 21:51:00:666:868             Received target xcoords                                 -
  10-02-2024 21:51:00:666:946          Received obstacles ycoords                                 -
   10-02-2024 21:51:00:667:10          Received obstacles xcoords                                 -
   10-02-2024 21:51:00:667:81                             ScaledY                              15.60
  10-02-2024 21:51:00:667:150                             ScaledX                              30.15
  10-02-2024 21:51:00:667:212                      dronePositionY                                 15
  10-02-2024 21:51:00:667:266                      dronePositionX                                 30
  10-02-2024 21:51:00:667:318                           droneMaxY                                201
  10-02-2024 21:51:00:667:370                           droneMaxX                                 26
  10-02-2024 21:51:00:669:372                      Skipped target                                 -
  10-02-2024 21:51:00:669:436                      Skipped target                                 -
  10-02-2024 21:51:00:669:488                      Skipped target                                 -
  10-02-2024 21:51:00:669:539                    Displayed target                                 -
  10-02-2024 21:51:00:669:591                    Displayed target                                 -
  10-02-2024 21:51:00:669:643                    Displayed target                                 -
  10-02-2024 21:51:00:669:694                    Displayed target                                 -
  10-02-2024 21:51:00:669:744                      Skipped target                                 -
  10-02-2024 21:51:00:669:795                    Displayed target                                 -
  10-02-2024 21:51:00:669:845                      Skipped target                                 -
  10-02-2024 21:51:00:669:896                      Skipped target                                 -
    10-02-2024 21:51:00:670:2                      Skipped target                                 -
   10-02-2024 21:51:00:670:54                      Skipped target                                 -
  10-02-2024 21:51:00:670:104                      Skipped target                                 -
  10-02-2024 21:51:00:670:159                      Skipped target                                 -
  10-02-2024 21:51:00:670:211                      Skipped target                                 -
  10-02-2024 21:51:00:670:294                      Skipped target                                 -
  10-02-2024 21:51:00:670:346                      Skipped target                                 -
  10-02-2024 21:51:00:670:396                      Skipped target                                 -
  10-02-2024 21:51:00:670:447                      Skipped target                                 -
  10-02-2024 21:51:00:672:489                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:549                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:602                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:653                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:704                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:754                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:806                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:857                  Displayed obstacle                                 -
  10-02-2024 21:51:00:672:908                    Skipped obstacle                                 -
  10-02-2024 21:51:00:672:958                  Displayed obstacle                                 -
    10-02-2024 21:51:00:673:9                  Displayed obstacle                                 -
   10-02-2024 21:51:00:673:60                  Displayed obstacle                                 -
  10-02-2024 21:51:00:673:111                  Displayed obstacle                                 -
  10-02-2024 21:51:00:673:162                  Displayed obstacle                                 -
  10-02-2024 21:51:00:673:213                  Displayed obstacle                                 -
  10-02-2024 21:51:00:673:264                    Skipped obstacle                                 -
  10-02-2024 21:51:00:673:314                    Skipped obstacle                                 -
  10-02-2024 21:51:00:673:364                    Skipped obstacle                                 -
  10-02-2024 21:51:00:673:414                    Skipped obstacle                                 -
  10-02-2024 21:51:00:673:466                    Skipped obstacle                                 -
  10-02-2024 21:51:00:773:896                          user input                                 -1
  10-02-2024 21:51:00:773:955                            yMax_now                                203
  10-02-2024 21:51:00:773:976                            xMax_now                                 53
  10-02-2024 21:51:00:867:284                 Pipe_dronePositionY                                 15
  10-02-2024 21:51:00:867:394                 Pipe_dronePositionX                                 15
  10-02-2024 21:51:00:867:460             Received target ycoords                                 -
  10-02-2024 21:51:00:867:518             Received target xcoords                                 -
  10-02-2024 21:51:00:867:575          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:867:631          Received obstacles xcoords                                 -
  10-02-2024 21:51:00:867:696                             ScaledY                              15.60
  10-02-2024 21:51:00:867:759                             ScaledX                              30.15
  10-02-2024 21:51:00:867:818                      dronePositionY                                 15
  10-02-2024 21:51:00:867:870                      dronePositionX                                 30
  10-02-2024 21:51:00:867:921                           droneMaxY                                201
  10-02-2024 21:51:00:867:972                           droneMaxX                                 26
  10-02-2024 21:51:00:870:344                      Skipped target                                 -
  10-02-2024 21:51:00:870:420                      Skipped target                                 -
  10-02-2024 21:51:00:870:503                      Skipped target                                 -
  10-02-2024 21:51:00:870:557                    Displayed target                                 -
  10-02-2024 21:51:00:870:612                    Displayed target                                 -
  10-02-2024 21:51:00:870:664                    Displayed target                                 -
  10-02-2024 21:51:00:870:716                    Displayed target                                 -
  10-02-2024 21:51:00:870:768                      Skipped target                                 -
  10-02-2024 21:51:00:870:820                    Displayed target                                 -
  10-02-2024 21:51:00:870:872                      Skipped target                                 -
  10-02-2024 21:51:00:870:923                      Skipped target                                 -
  10-02-2024 21:51:00:870:973                      Skipped target                                 -
   10-02-2024 21:51:00:871:24                      Skipped target                                 -
   10-02-2024 21:51:00:871:75                      Skipped target                                 -
  10-02-2024 21:51:00:871:126                      Skipped target                                 -
  10-02-2024 21:51:00:871:178                      Skipped target                                 -
  10-02-2024 21:51:00:871:229                      Skipped target                                 -
  10-02-2024 21:51:00:871:282                      Skipped target                                 -
  10-02-2024 21:51:00:871:333                      Skipped target                                 -
  10-02-2024 21:51:00:871:384                      Skipped target                                 -
  10-02-2024 21:51:00:873:467                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:532                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:588                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:640                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:692                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:744                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:795                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:846                  Displayed obstacle                                 -
  10-02-2024 21:51:00:873:920                    Skipped obstacle                                 -
  10-02-2024 21:51:00:873:994                  Displayed obstacle                                 -
   10-02-2024 21:51:00:874:46                  Displayed obstacle                                 -
   10-02-2024 21:51:00:874:98                  Displayed obstacle                                 -
  10-02-2024 21:51:00:874:149                  Displayed obstacle                                 -
  10-02-2024 21:51:00:874:201                  Displayed obstacle                                 -
  10-02-2024 21:51:00:874:252                  Displayed obstacle                                 -
  10-02-2024 21:51:00:874:303                    Skipped obstacle                                 -
