                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-02-2024 21:50:53:865:803                           Drone PID                              65401
  10-02-2024 21:50:53:865:822                sent pid to watchdog                                 -
  10-02-2024 21:51:00:465:355               received watchdog pid                                 -
  10-02-2024 21:51:00:465:448                        watchdog_pid                              65451
   10-02-2024 21:51:00:566:49                            keyvalue                                  0
  10-02-2024 21:51:00:566:147          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:566:209          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:566:333                           Magnitude                               0.00
  10-02-2024 21:51:00:566:395                               Angle                               0.00
  10-02-2024 21:51:00:566:449                           Magnitude                               0.00
  10-02-2024 21:51:00:566:503                               Angle                               0.00
  10-02-2024 21:51:00:566:555                           Magnitude                               0.00
  10-02-2024 21:51:00:566:608                               Angle                               0.00
  10-02-2024 21:51:00:566:660                           Magnitude                               0.00
  10-02-2024 21:51:00:566:713                               Angle                               0.00
  10-02-2024 21:51:00:566:765                           Magnitude                               0.00
  10-02-2024 21:51:00:566:817                               Angle                               0.00
  10-02-2024 21:51:00:566:870                           Magnitude                               0.00
  10-02-2024 21:51:00:566:922                               Angle                               0.00
  10-02-2024 21:51:00:566:974                           Magnitude                               0.00
   10-02-2024 21:51:00:567:26                               Angle                               0.00
   10-02-2024 21:51:00:567:78                           Magnitude                               0.00
  10-02-2024 21:51:00:567:130                               Angle                               0.00
  10-02-2024 21:51:00:567:181                           Magnitude                               0.00
  10-02-2024 21:51:00:567:235                               Angle                               0.00
  10-02-2024 21:51:00:567:288                           Magnitude                               0.00
  10-02-2024 21:51:00:567:339                               Angle                               0.00
  10-02-2024 21:51:00:567:416                           Magnitude                               0.00
  10-02-2024 21:51:00:567:502                               Angle                               0.00
  10-02-2024 21:51:00:567:582                           Magnitude                               0.00
  10-02-2024 21:51:00:567:635                               Angle                               0.00
  10-02-2024 21:51:00:567:690                           Magnitude                               0.06
  10-02-2024 21:51:00:567:747                               Angle                               2.16
  10-02-2024 21:51:00:567:800                           Magnitude                               0.00
  10-02-2024 21:51:00:567:854                               Angle                               0.00
  10-02-2024 21:51:00:567:906                           Magnitude                               0.00
  10-02-2024 21:51:00:567:959                               Angle                               0.00
   10-02-2024 21:51:00:568:10                           Magnitude                               0.00
   10-02-2024 21:51:00:568:63                               Angle                               0.00
  10-02-2024 21:51:00:568:115                           Magnitude                               0.00
  10-02-2024 21:51:00:568:199                               Angle                               0.00
  10-02-2024 21:51:00:568:254                           Magnitude                               0.00
  10-02-2024 21:51:00:568:306                               Angle                               0.00
  10-02-2024 21:51:00:568:358                           Magnitude                               0.00
  10-02-2024 21:51:00:568:409                               Angle                               0.00
  10-02-2024 21:51:00:568:461                           Magnitude                               0.00
  10-02-2024 21:51:00:568:515                               Angle                               0.00
  10-02-2024 21:51:00:568:568                           Magnitude                               0.00
  10-02-2024 21:51:00:568:620                               Angle                               0.00
  10-02-2024 21:51:00:568:672                           Magnitude                               0.00
  10-02-2024 21:51:00:568:724                               Angle                               0.00
  10-02-2024 21:51:00:568:776                           Magnitude                               0.00
  10-02-2024 21:51:00:568:828                               Angle                               0.00
  10-02-2024 21:51:00:568:879                           Magnitude                               0.00
  10-02-2024 21:51:00:568:930                               Angle                               0.00
    10-02-2024 21:51:00:569:6                      DronePositionX                                 15
   10-02-2024 21:51:00:569:60                      DronePositionY                                 15
  10-02-2024 21:51:00:569:111                dronePositionChangeX                                  0
  10-02-2024 21:51:00:569:163                dronePositionChangeY                                  0
  10-02-2024 21:51:00:569:215                              ForceY                                  0
  10-02-2024 21:51:00:569:266                              ForceX                                  0
  10-02-2024 21:51:00:766:785                            keyvalue                                 -1
  10-02-2024 21:51:00:766:819          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:766:841          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:766:866                           Magnitude                               0.00
  10-02-2024 21:51:00:766:888                               Angle                               0.00
  10-02-2024 21:51:00:766:907                           Magnitude                               0.00
  10-02-2024 21:51:00:766:925                               Angle                               0.00
  10-02-2024 21:51:00:766:944                           Magnitude                               0.00
  10-02-2024 21:51:00:766:962                               Angle                               0.00
  10-02-2024 21:51:00:766:981                           Magnitude                               0.00
  10-02-2024 21:51:00:766:999                               Angle                               0.00
   10-02-2024 21:51:00:767:18                           Magnitude                               0.00
   10-02-2024 21:51:00:767:36                               Angle                               0.00
   10-02-2024 21:51:00:767:55                           Magnitude                               0.00
   10-02-2024 21:51:00:767:73                               Angle                               0.00
   10-02-2024 21:51:00:767:92                           Magnitude                               0.00
  10-02-2024 21:51:00:767:111                               Angle                               0.00
  10-02-2024 21:51:00:767:130                           Magnitude                               0.00
  10-02-2024 21:51:00:767:150                               Angle                               0.00
  10-02-2024 21:51:00:767:169                           Magnitude                               0.00
  10-02-2024 21:51:00:767:199                               Angle                               0.00
  10-02-2024 21:51:00:767:218                           Magnitude                               0.00
  10-02-2024 21:51:00:767:237                               Angle                               0.00
  10-02-2024 21:51:00:767:255                           Magnitude                               0.00
  10-02-2024 21:51:00:767:274                               Angle                               0.00
  10-02-2024 21:51:00:767:292                           Magnitude                               0.00
  10-02-2024 21:51:00:767:311                               Angle                               0.00
  10-02-2024 21:51:00:767:329                           Magnitude                               0.06
  10-02-2024 21:51:00:767:350                               Angle                               2.16
  10-02-2024 21:51:00:767:369                           Magnitude                               0.00
  10-02-2024 21:51:00:767:387                               Angle                               0.00
  10-02-2024 21:51:00:767:407                           Magnitude                               0.00
  10-02-2024 21:51:00:767:425                               Angle                               0.00
  10-02-2024 21:51:00:767:444                           Magnitude                               0.00
  10-02-2024 21:51:00:767:462                               Angle                               0.00
  10-02-2024 21:51:00:767:481                           Magnitude                               0.00
  10-02-2024 21:51:00:767:499                               Angle                               0.00
  10-02-2024 21:51:00:767:517                           Magnitude                               0.00
  10-02-2024 21:51:00:767:536                               Angle                               0.00
  10-02-2024 21:51:00:767:554                           Magnitude                               0.00
  10-02-2024 21:51:00:767:573                               Angle                               0.00
  10-02-2024 21:51:00:767:591                           Magnitude                               0.00
  10-02-2024 21:51:00:767:610                               Angle                               0.00
  10-02-2024 21:51:00:767:629                           Magnitude                               0.00
  10-02-2024 21:51:00:767:647                               Angle                               0.00
  10-02-2024 21:51:00:767:666                           Magnitude                               0.00
  10-02-2024 21:51:00:767:684                               Angle                               0.00
  10-02-2024 21:51:00:767:703                           Magnitude                               0.00
  10-02-2024 21:51:00:767:722                               Angle                               0.00
  10-02-2024 21:51:00:767:740                           Magnitude                               0.00
  10-02-2024 21:51:00:767:759                               Angle                               0.00
  10-02-2024 21:51:00:767:779                      DronePositionX                                 15
  10-02-2024 21:51:00:767:798                      DronePositionY                                 15
  10-02-2024 21:51:00:767:816                dronePositionChangeX                                  0
  10-02-2024 21:51:00:767:834                dronePositionChangeY                                  0
  10-02-2024 21:51:00:767:853                              ForceY                                  0
  10-02-2024 21:51:00:767:871                              ForceX                                  0
  10-02-2024 21:51:00:968:119                            keyvalue                                 -1
  10-02-2024 21:51:00:968:222          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:968:289          Received obstacles ycoords                                 -
  10-02-2024 21:51:00:968:387                           Magnitude                               0.00
  10-02-2024 21:51:00:968:453                               Angle                               0.00
  10-02-2024 21:51:00:968:511                           Magnitude                               0.00
  10-02-2024 21:51:00:968:568                               Angle                               0.00
  10-02-2024 21:51:00:968:625                           Magnitude                               0.00
  10-02-2024 21:51:00:968:683                               Angle                               0.00
  10-02-2024 21:51:00:968:740                           Magnitude                               0.00
  10-02-2024 21:51:00:968:797                               Angle                               0.00
  10-02-2024 21:51:00:968:853                           Magnitude                               0.00
  10-02-2024 21:51:00:968:912                               Angle                               0.00
  10-02-2024 21:51:00:968:969                           Magnitude                               0.00
   10-02-2024 21:51:00:969:25                               Angle                               0.00
   10-02-2024 21:51:00:969:83                           Magnitude                               0.00
  10-02-2024 21:51:00:969:139                               Angle                               0.00
  10-02-2024 21:51:00:969:196                           Magnitude                               0.00
  10-02-2024 21:51:00:969:254                               Angle                               0.00
  10-02-2024 21:51:00:969:313                           Magnitude                               0.00
  10-02-2024 21:51:00:969:371                               Angle                               0.00
  10-02-2024 21:51:00:969:428                           Magnitude                               0.00
  10-02-2024 21:51:00:969:485                               Angle                               0.00
  10-02-2024 21:51:00:969:542                           Magnitude                               0.00
  10-02-2024 21:51:00:969:599                               Angle                               0.00
  10-02-2024 21:51:00:969:656                           Magnitude                               0.00
  10-02-2024 21:51:00:969:714                               Angle                               0.00
  10-02-2024 21:51:00:969:773                           Magnitude                               0.06
  10-02-2024 21:51:00:969:834                               Angle                               2.16
  10-02-2024 21:51:00:969:892                           Magnitude                               0.00
    10-02-2024 21:51:00:970:2                               Angle                               0.00
   10-02-2024 21:51:00:970:60                           Magnitude                               0.00
  10-02-2024 21:51:00:970:118                               Angle                               0.00
  10-02-2024 21:51:00:970:175                           Magnitude                               0.00
  10-02-2024 21:51:00:970:232                               Angle                               0.00
  10-02-2024 21:51:00:970:289                           Magnitude                               0.00
  10-02-2024 21:51:00:970:346                               Angle                               0.00
  10-02-2024 21:51:00:970:403                           Magnitude                               0.00
  10-02-2024 21:51:00:970:460                               Angle                               0.00
  10-02-2024 21:51:00:970:517                           Magnitude                               0.00
  10-02-2024 21:51:00:970:576                               Angle                               0.00
