                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-02-2024 21:50:53:926:449                sent pid to watchdog                                 -
  10-02-2024 21:51:00:465:337               received watchdog pid                                 -
  10-02-2024 21:51:00:465:431                        watchdog_pid                              65451
  10-02-2024 21:51:00:565:627            Server performed 1 cycle                                 -
  10-02-2024 21:51:00:565:762                     keypressedValue                                  0
  10-02-2024 21:51:00:565:820                      dronePositionY                                 15
  10-02-2024 21:51:00:565:873                      dronePositionX                                 15
  10-02-2024 21:51:00:666:154            Server performed 1 cycle                                 -
  10-02-2024 21:51:00:666:270                     keypressedValue                                 -1
  10-02-2024 21:51:00:666:330                      dronePositionY                                 15
  10-02-2024 21:51:00:666:382                      dronePositionX                                 15
  10-02-2024 21:51:00:766:607            Server performed 1 cycle                                 -
  10-02-2024 21:51:00:766:663                     keypressedValue                                 -1
  10-02-2024 21:51:00:766:683                      dronePositionY                                 15
  10-02-2024 21:51:00:766:702                      dronePositionX                                 15
  10-02-2024 21:51:00:866:926            Server performed 1 cycle                                 -
   10-02-2024 21:51:00:867:32                     keypressedValue                                 -1
   10-02-2024 21:51:00:867:89                      dronePositionY                                 15
  10-02-2024 21:51:00:867:141                      dronePositionX                                 15
  10-02-2024 21:51:00:967:655            Server performed 1 cycle                                 -
  10-02-2024 21:51:00:967:798                     keypressedValue                                 -1
  10-02-2024 21:51:00:967:862                      dronePositionY                                 15
  10-02-2024 21:51:00:967:921                      dronePositionX                                 15
   10-02-2024 21:51:01:68:467            Server performed 1 cycle                                 -
   10-02-2024 21:51:01:68:600                     keypressedValue                                 -1
   10-02-2024 21:51:01:68:665                      dronePositionY                                 15
   10-02-2024 21:51:01:68:724                      dronePositionX                                 15
   10-02-2024 21:51:01:169:83            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:169:212                     keypressedValue                                 -1
  10-02-2024 21:51:01:169:270                      dronePositionY                                 15
  10-02-2024 21:51:01:169:322                      dronePositionX                                 15
  10-02-2024 21:51:01:269:882            Server performed 1 cycle                                 -
   10-02-2024 21:51:01:270:58                     keypressedValue                                 -1
  10-02-2024 21:51:01:270:125                      dronePositionY                                 15
  10-02-2024 21:51:01:270:185                      dronePositionX                                 15
  10-02-2024 21:51:01:370:714            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:370:851                     keypressedValue                                 -1
  10-02-2024 21:51:01:370:917                      dronePositionY                                 15
  10-02-2024 21:51:01:370:977                      dronePositionX                                 15
  10-02-2024 21:51:01:466:354            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:466:498                     keypressedValue                                 -1
  10-02-2024 21:51:01:466:557                      dronePositionY                                 15
  10-02-2024 21:51:01:466:610                      dronePositionX                                 15
  10-02-2024 21:51:01:567:148            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:567:278                     keypressedValue                                 -1
  10-02-2024 21:51:01:567:342                      dronePositionY                                 15
  10-02-2024 21:51:01:567:402                      dronePositionX                                 15
  10-02-2024 21:51:01:667:934            Server performed 1 cycle                                 -
   10-02-2024 21:51:01:668:61                     keypressedValue                                 -1
  10-02-2024 21:51:01:668:119                      dronePositionY                                 15
  10-02-2024 21:51:01:668:173                      dronePositionX                                 15
  10-02-2024 21:51:01:768:973            Server performed 1 cycle                                 -
   10-02-2024 21:51:01:769:95                     keypressedValue                                 -1
  10-02-2024 21:51:01:769:154                      dronePositionY                                 15
  10-02-2024 21:51:01:769:206                      dronePositionX                                 15
  10-02-2024 21:51:01:869:469            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:869:597                     keypressedValue                                 -1
  10-02-2024 21:51:01:869:654                      dronePositionY                                 15
  10-02-2024 21:51:01:869:705                      dronePositionX                                 15
  10-02-2024 21:51:01:970:515            Server performed 1 cycle                                 -
  10-02-2024 21:51:01:970:635                     keypressedValue                                 -1
  10-02-2024 21:51:01:970:694                      dronePositionY                                 15
