                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-02-2024 21:50:53:779:854                         Targets PID                              65385
  10-02-2024 21:50:53:779:877                sent pid to watchdog                                 -
  10-02-2024 21:51:00:465:378               received watchdog pid                                 -
  10-02-2024 21:51:00:465:477                        watchdog_pid                              65451
  10-02-2024 21:51:00:465:541                        target_count                                  9
  10-02-2024 21:51:00:465:595           Drone and target coincide                                 -
  10-02-2024 21:51:00:465:647           Drone and target coincide                                 -
  10-02-2024 21:51:00:465:701           Drone and target coincide                                 -
  10-02-2024 21:51:00:465:753           Drone and target coincide                                 -
  10-02-2024 21:51:00:566:133                      dronePositionY                                 15
  10-02-2024 21:51:00:566:224                      dronePositionX                                 15
  10-02-2024 21:51:00:666:427           Drone and target coincide                                 -
  10-02-2024 21:51:00:666:551           Drone and target coincide                                 -
  10-02-2024 21:51:00:666:655           Drone and target coincide                                 -
  10-02-2024 21:51:00:666:756           Drone and target coincide                                 -
  10-02-2024 21:51:00:766:809                      dronePositionY                                 15
  10-02-2024 21:51:00:766:841                      dronePositionX                                 15
   10-02-2024 21:51:00:867:40           Drone and target coincide                                 -
  10-02-2024 21:51:00:867:128           Drone and target coincide                                 -
  10-02-2024 21:51:00:867:185           Drone and target coincide                                 -
  10-02-2024 21:51:00:867:272           Drone and target coincide                                 -
  10-02-2024 21:51:00:968:133                      dronePositionY                                 15
  10-02-2024 21:51:00:968:230                      dronePositionX                                 15
   10-02-2024 21:51:01:68:475           Drone and target coincide                                 -
   10-02-2024 21:51:01:68:580           Drone and target coincide                                 -
   10-02-2024 21:51:01:68:644           Drone and target coincide                                 -
   10-02-2024 21:51:01:68:703           Drone and target coincide                                 -
   10-02-2024 21:51:01:68:873                      dronePositionY                                 15
   10-02-2024 21:51:01:68:984                      dronePositionX                                 15
  10-02-2024 21:51:01:169:244           Drone and target coincide                                 -
  10-02-2024 21:51:01:169:330           Drone and target coincide                                 -
  10-02-2024 21:51:01:169:386           Drone and target coincide                                 -
  10-02-2024 21:51:01:169:439           Drone and target coincide                                 -
  10-02-2024 21:51:01:270:408                      dronePositionY                                 15
  10-02-2024 21:51:01:270:547                      dronePositionX                                 15
  10-02-2024 21:51:01:370:820           Drone and target coincide                                 -
  10-02-2024 21:51:01:370:916           Drone and target coincide                                 -
  10-02-2024 21:51:01:370:978           Drone and target coincide                                 -
   10-02-2024 21:51:01:371:36           Drone and target coincide                                 -
  10-02-2024 21:51:01:466:809                      dronePositionY                                 15
  10-02-2024 21:51:01:466:956                      dronePositionX                                 15
  10-02-2024 21:51:01:567:214           Drone and target coincide                                 -
  10-02-2024 21:51:01:567:310           Drone and target coincide                                 -
  10-02-2024 21:51:01:567:384           Drone and target coincide                                 -
  10-02-2024 21:51:01:567:484           Drone and target coincide                                 -
  10-02-2024 21:51:01:668:365                      dronePositionY                                 15
  10-02-2024 21:51:01:668:491                      dronePositionX                                 15
  10-02-2024 21:51:01:768:973           Drone and target coincide                                 -
   10-02-2024 21:51:01:769:74           Drone and target coincide                                 -
  10-02-2024 21:51:01:769:130           Drone and target coincide                                 -
  10-02-2024 21:51:01:769:210           Drone and target coincide                                 -
  10-02-2024 21:51:01:869:941                      dronePositionY                                 15
   10-02-2024 21:51:01:870:98                      dronePositionX                                 15
  10-02-2024 21:51:01:970:515           Drone and target coincide                                 -
  10-02-2024 21:51:01:970:618           Drone and target coincide                                 -
  10-02-2024 21:51:01:970:674           Drone and target coincide                                 -
  10-02-2024 21:51:01:970:729           Drone and target coincide                                 -
  10-02-2024 21:51:01:970:965                      dronePositionY                                 15
   10-02-2024 21:51:01:971:46                      dronePositionX                                 15
   10-02-2024 21:51:02:71:320           Drone and target coincide                                 -
   10-02-2024 21:51:02:71:431           Drone and target coincide                                 -
   10-02-2024 21:51:02:71:495           Drone and target coincide                                 -
   10-02-2024 21:51:02:71:572           Drone and target coincide                                 -
  10-02-2024 21:51:02:172:331                      dronePositionY                                 15
  10-02-2024 21:51:02:172:429                      dronePositionX                                 15
  10-02-2024 21:51:02:272:681           Drone and target coincide                                 -
  10-02-2024 21:51:02:272:783           Drone and target coincide                                 -
  10-02-2024 21:51:02:272:839           Drone and target coincide                                 -
  10-02-2024 21:51:02:272:919           Drone and target coincide                                 -
  10-02-2024 21:51:02:373:995                      dronePositionY                                 15
   10-02-2024 21:51:02:374:91                      dronePositionX                                 15
  10-02-2024 21:51:02:474:562           Drone and target coincide                                 -
  10-02-2024 21:51:02:474:674           Drone and target coincide                                 -
  10-02-2024 21:51:02:474:736           Drone and target coincide                                 -
  10-02-2024 21:51:02:474:796           Drone and target coincide                                 -
  10-02-2024 21:51:02:475:100                      dronePositionY                                 15
  10-02-2024 21:51:02:475:230                      dronePositionX                                 15
  10-02-2024 21:51:02:575:486           Drone and target coincide                                 -
  10-02-2024 21:51:02:575:581           Drone and target coincide                                 -
  10-02-2024 21:51:02:575:652           Drone and target coincide                                 -
  10-02-2024 21:51:02:575:751           Drone and target coincide                                 -
  10-02-2024 21:51:02:676:411                      dronePositionY                                 15
  10-02-2024 21:51:02:676:551                      dronePositionX                                 15
  10-02-2024 21:51:02:776:795           Drone and target coincide                                 -
  10-02-2024 21:51:02:776:881           Drone and target coincide                                 -
  10-02-2024 21:51:02:776:964           Drone and target coincide                                 -
   10-02-2024 21:51:02:777:18           Drone and target coincide                                 -
    10-02-2024 21:51:02:878:4                      dronePositionY                                 15
  10-02-2024 21:51:02:878:130                      dronePositionX                                 15
  10-02-2024 21:51:02:978:587           Drone and target coincide                                 -
  10-02-2024 21:51:02:978:696           Drone and target coincide                                 -
  10-02-2024 21:51:02:978:757           Drone and target coincide                                 -
  10-02-2024 21:51:02:978:817           Drone and target coincide                                 -
   10-02-2024 21:51:02:979:79                      dronePositionY                                 15
  10-02-2024 21:51:02:979:169                      dronePositionX                                 15
   10-02-2024 21:51:03:79:399           Drone and target coincide                                 -
   10-02-2024 21:51:03:79:509           Drone and target coincide                                 -
   10-02-2024 21:51:03:79:571           Drone and target coincide                                 -
   10-02-2024 21:51:03:79:646           Drone and target coincide                                 -
  10-02-2024 21:51:03:180:685                      dronePositionY                                 15
  10-02-2024 21:51:03:180:780                      dronePositionX                                 15
    10-02-2024 21:51:03:281:4           Drone and target coincide                                 -
  10-02-2024 21:51:03:281:129           Drone and target coincide                                 -
  10-02-2024 21:51:03:281:226           Drone and target coincide                                 -
  10-02-2024 21:51:03:281:330           Drone and target coincide                                 -
  10-02-2024 21:51:03:382:147                      dronePositionY                                 15
  10-02-2024 21:51:03:382:244                      dronePositionX                                 15
