                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-02-2024 21:51:00:464:749                          server pid                              65417
  10-02-2024 21:51:00:464:902                              UI pid                              65429
    10-02-2024 21:51:00:465:0                           drone pid                              65401
   10-02-2024 21:51:00:465:73                         targets pid                              65385
  10-02-2024 21:51:00:465:145                       obstacles pid                              65435
  10-02-2024 21:51:00:465:272                        watchdog pid                              65451
  10-02-2024 21:51:00:465:347      sent watchdog pid to processes                                 -
  10-02-2024 21:51:01:466:110                         current pid                              65417
  10-02-2024 21:51:01:466:245               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:01:567:148        received response from 65417                                 -
  10-02-2024 21:51:01:567:274                         current pid                              65429
  10-02-2024 21:51:01:567:388               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:01:667:934        received response from 65429                                 -
   10-02-2024 21:51:01:668:47                         current pid                              65401
  10-02-2024 21:51:01:668:148               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:01:768:973        received response from 65401                                 -
   10-02-2024 21:51:01:769:92                         current pid                              65385
  10-02-2024 21:51:01:769:205               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:01:869:568        received response from 65385                                 -
  10-02-2024 21:51:01:869:675                         current pid                              65435
  10-02-2024 21:51:01:869:768               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:01:970:515        received response from 65435                                 -
  10-02-2024 21:51:01:970:632                         current pid                              65417
  10-02-2024 21:51:01:970:751               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:02:71:320        received response from 65417                                 -
   10-02-2024 21:51:02:71:448                         current pid                              65429
   10-02-2024 21:51:02:71:558               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:02:171:966        received response from 65429                                 -
   10-02-2024 21:51:02:172:86                         current pid                              65401
  10-02-2024 21:51:02:172:191               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:02:272:680        received response from 65401                                 -
  10-02-2024 21:51:02:272:797                         current pid                              65385
  10-02-2024 21:51:02:272:912               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:02:373:487        received response from 65385                                 -
  10-02-2024 21:51:02:373:614                         current pid                              65435
  10-02-2024 21:51:02:373:722               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:02:474:562        received response from 65435                                 -
  10-02-2024 21:51:02:474:689                         current pid                              65417
  10-02-2024 21:51:02:474:817               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:02:575:378        received response from 65417                                 -
  10-02-2024 21:51:02:575:551                         current pid                              65429
  10-02-2024 21:51:02:575:662               sent SIGUSR1 to 65429                                 -
   10-02-2024 21:51:02:676:80        received response from 65429                                 -
  10-02-2024 21:51:02:676:200                         current pid                              65401
  10-02-2024 21:51:02:676:305               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:02:776:716        received response from 65401                                 -
  10-02-2024 21:51:02:776:835                         current pid                              65385
  10-02-2024 21:51:02:776:949               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:02:877:535        received response from 65385                                 -
  10-02-2024 21:51:02:877:650                         current pid                              65435
  10-02-2024 21:51:02:877:748               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:02:978:587        received response from 65435                                 -
  10-02-2024 21:51:02:978:712                         current pid                              65417
  10-02-2024 21:51:02:978:839               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:03:79:399        received response from 65417                                 -
   10-02-2024 21:51:03:79:525                         current pid                              65429
   10-02-2024 21:51:03:79:637               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:03:180:215        received response from 65429                                 -
  10-02-2024 21:51:03:180:339                         current pid                              65401
  10-02-2024 21:51:03:180:447               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:03:280:815        received response from 65401                                 -
  10-02-2024 21:51:03:280:942                         current pid                              65385
   10-02-2024 21:51:03:281:67               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:03:381:623        received response from 65385                                 -
  10-02-2024 21:51:03:381:747                         current pid                              65435
  10-02-2024 21:51:03:381:875               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:03:482:724        received response from 65435                                 -
  10-02-2024 21:51:03:482:840                         current pid                              65417
  10-02-2024 21:51:03:482:956               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:03:583:554        received response from 65417                                 -
  10-02-2024 21:51:03:583:680                         current pid                              65429
  10-02-2024 21:51:03:583:792               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:03:684:363        received response from 65429                                 -
  10-02-2024 21:51:03:684:489                         current pid                              65401
  10-02-2024 21:51:03:684:597               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:03:785:175        received response from 65401                                 -
  10-02-2024 21:51:03:785:290                         current pid                              65385
  10-02-2024 21:51:03:785:406               sent SIGUSR1 to 65385                                 -
   10-02-2024 21:51:03:886:12        received response from 65385                                 -
  10-02-2024 21:51:03:886:128                         current pid                              65435
  10-02-2024 21:51:03:886:231               sent SIGUSR1 to 65435                                 -
   10-02-2024 21:51:03:987:66        received response from 65435                                 -
  10-02-2024 21:51:03:987:191                         current pid                              65417
  10-02-2024 21:51:03:987:317               sent SIGUSR1 to 65417                                 -
   10-02-2024 21:51:04:87:877        received response from 65417                                 -
     10-02-2024 21:51:04:88:1                         current pid                              65429
   10-02-2024 21:51:04:88:112               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:04:188:688        received response from 65429                                 -
  10-02-2024 21:51:04:188:817                         current pid                              65401
  10-02-2024 21:51:04:188:927               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:04:289:505        received response from 65401                                 -
  10-02-2024 21:51:04:289:622                         current pid                              65385
  10-02-2024 21:51:04:289:739               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:04:390:310        received response from 65385                                 -
  10-02-2024 21:51:04:390:425                         current pid                              65435
  10-02-2024 21:51:04:390:524               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:04:491:348        received response from 65435                                 -
  10-02-2024 21:51:04:491:476                         current pid                              65417
  10-02-2024 21:51:04:491:603               sent SIGUSR1 to 65417                                 -
  10-02-2024 21:51:04:592:161        received response from 65417                                 -
  10-02-2024 21:51:04:592:276                         current pid                              65429
  10-02-2024 21:51:04:592:376               sent SIGUSR1 to 65429                                 -
  10-02-2024 21:51:04:692:962        received response from 65429                                 -
   10-02-2024 21:51:04:693:86                         current pid                              65401
  10-02-2024 21:51:04:693:196               sent SIGUSR1 to 65401                                 -
  10-02-2024 21:51:04:793:778        received response from 65401                                 -
  10-02-2024 21:51:04:793:938                         current pid                              65385
  10-02-2024 21:51:04:796:833               sent SIGUSR1 to 65385                                 -
  10-02-2024 21:51:04:897:215        received response from 65385                                 -
  10-02-2024 21:51:04:897:306                         current pid                              65435
  10-02-2024 21:51:04:897:378               sent SIGUSR1 to 65435                                 -
  10-02-2024 21:51:04:998:188        received response from 65435                                 -
  10-02-2024 21:51:04:998:301                         current pid                              65417
  10-02-2024 21:51:04:998:383               sent SIGUSR1 to 65417                                 -
     10-02-2024 21:51:05:99:2        received response from 65417                                 -
   10-02-2024 21:51:05:99:113                         current pid                              65429
   10-02-2024 21:51:05:99:197               sent SIGUSR1 to 65429                                 -
