                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  12-12-2023 02:39:04:940:938                 initialised ncurses                                 -
  12-12-2023 02:39:04:940:973                        initial yMax                                 53
  12-12-2023 02:39:04:940:998                        initial xMax                                 78
   12-12-2023 02:39:04:941:34                           droneMaxY                                 26
   12-12-2023 02:39:04:941:65                           droneMaxX                                 76
  12-12-2023 02:39:04:942:735                   Created UIpidfifo                                 -
  12-12-2023 02:39:04:942:775                    Opened UIpidfifo                                 -
  12-12-2023 02:39:04:942:821                Sent pid to watchdog                                 -
  12-12-2023 02:39:04:942:880                 Opened sem_watchdog                                 -
  12-12-2023 02:39:04:942:935                 Opened shm_watchdog                                 -
   12-12-2023 02:39:04:943:62               received watchdog pid                                 -
   12-12-2023 02:39:04:943:98                        watchdog_pid                              40409
  12-12-2023 02:39:04:943:158              Created keypressedfifo                                 -
  12-12-2023 02:39:04:943:206                   Opened sem_window                                 -
  12-12-2023 02:39:04:943:242                   Opened shm_window                                 -
  12-12-2023 02:39:04:943:288               error: open sem_drone          No such file or directory
  12-12-2023 02:39:04:943:397                    Opened sem_drone                                 -
  12-12-2023 02:39:04:943:435                    Opened shm_drone                                 -
   12-12-2023 02:39:05:43:716                          user input                                 -1
   12-12-2023 02:39:05:43:846               passed input to drone                                 -
   12-12-2023 02:39:05:43:963         passed window size to drone                                 -
    12-12-2023 02:39:05:44:30                            yMax_now                                 53
    12-12-2023 02:39:05:44:88                            xMax_now                                 78
   12-12-2023 02:39:05:45:991                      dronePositionY                                 15
    12-12-2023 02:39:05:46:64                      dronePositionX                                 15
   12-12-2023 02:39:05:148:93                          user input                                 -1
  12-12-2023 02:39:05:148:207               passed input to drone                                 -
  12-12-2023 02:39:05:148:328         passed window size to drone                                 -
  12-12-2023 02:39:05:148:391                            yMax_now                                 53
  12-12-2023 02:39:05:148:448                            xMax_now                                 78
  12-12-2023 02:39:05:150:329                      dronePositionY                                 15
  12-12-2023 02:39:05:150:402                      dronePositionX                                 15
  12-12-2023 02:39:05:252:454                          user input                                 -1
