                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  12-12-2023 02:39:04:510:982                Created dronepidfifo                                 -
  12-12-2023 02:39:04:942:845                 Opened dronepidfifo                                 -
  12-12-2023 02:39:04:942:903                           Drone PID                              40407
  12-12-2023 02:39:04:942:945                 Opened sem_watchdog                                 -
  12-12-2023 02:39:04:942:983                 Opened shm_watchdog                                 -
   12-12-2023 02:39:04:943:98               received watchdog pid                                 -
  12-12-2023 02:39:04:943:135                        Watchdog PID                              40409
  12-12-2023 02:39:04:943:206               Opened keypressedfifo                                 -
  12-12-2023 02:39:04:943:259                   Opened sem_window                                 -
  12-12-2023 02:39:04:943:303                   Opened shm_window                                 -
  12-12-2023 02:39:04:943:362                    Opened sem_drone                                 -
  12-12-2023 02:39:04:943:406                    Opened shm_drone                                 -
  12-12-2023 02:39:04:953:586                            keyvalue                                  0
  12-12-2023 02:39:04:953:635                           droneMaxY                                  0
  12-12-2023 02:39:04:953:667                           droneMaxX                                  0
  12-12-2023 02:39:04:953:690                      DronePositionY                                 15
  12-12-2023 02:39:04:953:710                      DronePositionY                                 15
  12-12-2023 02:39:04:953:731                              ForceY                                  0
  12-12-2023 02:39:04:953:751                              forceX                                  0
  12-12-2023 02:39:04:953:778                 Sent dronepos to UI                                 -
   12-12-2023 02:39:05:53:953                            keyvalue                                 -1
    12-12-2023 02:39:05:54:51                           droneMaxY                                 26
   12-12-2023 02:39:05:54:113                           droneMaxX                                 76
   12-12-2023 02:39:05:54:170                      DronePositionY                                 15
   12-12-2023 02:39:05:54:227                      DronePositionY                                 15
   12-12-2023 02:39:05:54:287                              ForceY                                  0
   12-12-2023 02:39:05:54:345                              forceX                                  0
   12-12-2023 02:39:05:54:401                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:154:600                            keyvalue                                 -1
  12-12-2023 02:39:05:154:698                           droneMaxY                                 26
  12-12-2023 02:39:05:154:764                           droneMaxX                                 76
  12-12-2023 02:39:05:154:827                      DronePositionY                                 15
  12-12-2023 02:39:05:154:892                      DronePositionY                                 15
  12-12-2023 02:39:05:154:955                              ForceY                                  0
   12-12-2023 02:39:05:155:18                              forceX                                  0
   12-12-2023 02:39:05:155:82                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:255:289                            keyvalue                                 -1
  12-12-2023 02:39:05:255:388                           droneMaxY                                 26
  12-12-2023 02:39:05:255:454                           droneMaxX                                 76
  12-12-2023 02:39:05:255:520                      DronePositionY                                 15
  12-12-2023 02:39:05:255:611                      DronePositionY                                 15
  12-12-2023 02:39:05:255:678                              ForceY                                  0
  12-12-2023 02:39:05:255:751                              forceX                                  0
  12-12-2023 02:39:05:255:813                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:357:287                            keyvalue                                 -1
  12-12-2023 02:39:05:357:392                           droneMaxY                                 26
  12-12-2023 02:39:05:357:466                           droneMaxX                                 76
  12-12-2023 02:39:05:357:538                      DronePositionY                                 15
  12-12-2023 02:39:05:357:625                      DronePositionY                                 15
  12-12-2023 02:39:05:357:796                              ForceY                                  0
  12-12-2023 02:39:05:357:907                              forceX                                  0
   12-12-2023 02:39:05:358:14                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:462:212                            keyvalue                                 -1
  12-12-2023 02:39:05:462:342                           droneMaxY                                 26
  12-12-2023 02:39:05:462:415                           droneMaxX                                 76
  12-12-2023 02:39:05:462:493                      DronePositionY                                 15
  12-12-2023 02:39:05:462:585                      DronePositionY                                 15
  12-12-2023 02:39:05:462:652                              ForceY                                  0
  12-12-2023 02:39:05:462:719                              forceX                                  0
  12-12-2023 02:39:05:462:783                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:567:167                            keyvalue                                 -1
  12-12-2023 02:39:05:567:288                           droneMaxY                                 26
  12-12-2023 02:39:05:567:364                           droneMaxX                                 76
  12-12-2023 02:39:05:567:440                      DronePositionY                                 15
  12-12-2023 02:39:05:567:536                      DronePositionY                                 15
  12-12-2023 02:39:05:567:601                              ForceY                                  0
  12-12-2023 02:39:05:567:671                              forceX                                  0
  12-12-2023 02:39:05:567:738                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:672:319                            keyvalue                                 -1
  12-12-2023 02:39:05:672:424                           droneMaxY                                 26
  12-12-2023 02:39:05:672:497                           droneMaxX                                 76
  12-12-2023 02:39:05:672:564                      DronePositionY                                 15
  12-12-2023 02:39:05:672:651                      DronePositionY                                 15
  12-12-2023 02:39:05:672:770                              ForceY                                  0
  12-12-2023 02:39:05:672:874                              forceX                                  0
  12-12-2023 02:39:05:672:982                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:777:538                            keyvalue                                 -1
  12-12-2023 02:39:05:777:642                           droneMaxY                                 26
  12-12-2023 02:39:05:777:757                           droneMaxX                                 76
  12-12-2023 02:39:05:777:830                      DronePositionY                                 15
  12-12-2023 02:39:05:777:910                      DronePositionY                                 15
  12-12-2023 02:39:05:778:548                              ForceY                                  0
  12-12-2023 02:39:05:778:657                              forceX                                  0
  12-12-2023 02:39:05:778:757                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:882:504                            keyvalue                                 -1
  12-12-2023 02:39:05:882:638                           droneMaxY                                 26
  12-12-2023 02:39:05:882:710                           droneMaxX                                 76
  12-12-2023 02:39:05:882:780                      DronePositionY                                 15
  12-12-2023 02:39:05:882:874                      DronePositionY                                 15
  12-12-2023 02:39:05:882:941                              ForceY                                  0
    12-12-2023 02:39:05:883:8                              forceX                                  0
   12-12-2023 02:39:05:883:74                 Sent dronepos to UI                                 -
  12-12-2023 02:39:05:987:447                            keyvalue                                 -1
  12-12-2023 02:39:05:987:553                           droneMaxY                                 26
  12-12-2023 02:39:05:987:624                           droneMaxX                                 76
  12-12-2023 02:39:05:987:693                      DronePositionY                                 15
  12-12-2023 02:39:05:987:762                      DronePositionY                                 15
  12-12-2023 02:39:05:987:828                              ForceY                                  0
  12-12-2023 02:39:05:987:895                              forceX                                  0
  12-12-2023 02:39:05:987:962                 Sent dronepos to UI                                 -
   12-12-2023 02:39:06:92:785                            keyvalue                                 -1
   12-12-2023 02:39:06:92:888                           droneMaxY                                 26
   12-12-2023 02:39:06:92:961                           droneMaxX                                 76
    12-12-2023 02:39:06:93:30                      DronePositionY                                 15
    12-12-2023 02:39:06:93:99                      DronePositionY                                 15
   12-12-2023 02:39:06:93:165                              ForceY                                  0
   12-12-2023 02:39:06:93:231                              forceX                                  0
   12-12-2023 02:39:06:93:297                 Sent dronepos to UI                                 -
  12-12-2023 02:39:06:197:847                            keyvalue                                 -1
