                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  12-12-2023 02:39:04:723:942               Created serverpidfifo                                 -
  12-12-2023 02:39:04:723:988                Opened serverpidfifo                                 -
   12-12-2023 02:39:04:724:21                sent pid to watchdog                                 -
   12-12-2023 02:39:04:724:93                 Opened sem_watchdog                                 -
  12-12-2023 02:39:04:724:127                 Opened shm_watchdog                                 -
   12-12-2023 02:39:04:943:58               received watchdog pid                                 -
   12-12-2023 02:39:04:943:98                        watchdog_pid                              40409
  12-12-2023 02:39:04:943:195                  Created sem_window                                 -
  12-12-2023 02:39:04:943:247                  Created shm_window                                 -
  12-12-2023 02:39:04:943:351                   Created sem_drone                                 -
  12-12-2023 02:39:04:943:406                   Created shm_drone                                 -
   12-12-2023 02:39:05:43:648            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:143:923            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:244:220            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:347:618            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:448:223            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:548:945            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:649:699            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:750:411            Server performed 1 cycle                                 -
   12-12-2023 02:39:05:851:20            Server performed 1 cycle                                 -
  12-12-2023 02:39:05:951:427            Server performed 1 cycle                                 -
   12-12-2023 02:39:06:51:742            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:152:433            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:252:886            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:353:196            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:453:816            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:554:393            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:654:930            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:755:603            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:856:190            Server performed 1 cycle                                 -
  12-12-2023 02:39:06:956:636            Server performed 1 cycle                                 -
   12-12-2023 02:39:07:56:922            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:157:137            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:257:345            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:357:584            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:457:936            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:558:543            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:659:109            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:759:720            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:859:943            Server performed 1 cycle                                 -
  12-12-2023 02:39:07:960:713            Server performed 1 cycle                                 -
   12-12-2023 02:39:08:61:525            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:161:825            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:262:636            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:363:155            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:463:778            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:563:995            Server performed 1 cycle                                 -
  12-12-2023 02:39:08:664:233            Server performed 1 cycle                                 -
