                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  12-12-2023 02:39:04:526:450           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:526:587           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:526:707           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:526:828           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:526:956           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:527:77           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:208           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:335           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:446           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:554           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:659           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:765           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:879           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:527:989           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:100           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:210           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:319           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:430           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:541           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:651           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:762           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:872           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:528:984           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:529:95           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:205           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:316           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:426           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:537           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:636           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:749           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:849           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:529:953           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:530:52           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:149           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:247           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:343           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:440           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:539           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:636           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:731           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:860           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:530:983           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:531:98           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:210           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:317           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:420           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:521           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:623           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:726           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:827           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:531:929           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:532:31           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:132           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:234           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:335           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:441           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:549           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:658           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:768           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:876           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:532:984           error: serverpidfifo open          No such file or directory
   12-12-2023 02:39:04:533:92           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:200           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:308           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:417           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:525           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:636           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:768           error: serverpidfifo open          No such file or directory
  12-12-2023 02:39:04:533:879           error: serverpidfifo open          No such file or directory
